label,cleaned,adjusted,Comments,Synonym,NeuroElectro,BAMS,Neurolex,Hippocampome,BBP Cell,NeuroMorpho,Autogenerated,Added
Fasciola cinerea projection neuron,,,,,,,,,,,x,
Gigantocellular reticular nucleus projection neuron,,,,,,,,,,,,
Gigantocellular reticular nucleus intrinsic neuron,,,,,,,,,,,,
Globus palldus internal segment principal cell,,,,,,,,,,,,
Globus pallidus external segment intrinsic cell,,,,,x,,x,,,,,
Globus pallidus external segment principal cell,,,,,,,x,,,,,
Globus pallidus internal segment intrinsic cell,,,,,,,,,,,,
Globus pallidus ventral intrinsic cell,,,,,,,,,,,,
Globus pallidus ventral principal cell,,,,,,,,,,,,
Gracile nucleus projection neuron,,,,,,,,,,,,
Gracile nucleus intrinsic neuron,,,,,,,,,,,,
Habenula nuclei projection neuron,Habenular projection neuron,,,,,,,,,,,
Habenular nuclei intrinsic interneuron,,,,,,,,,,,x,
Hippocampus CA1 basket cell,,,,,x,,x,x,,,,
Hippocampus CA1 IS-I neuron,,,,,x,,x,,,,,
Hippocampus CA1 ivy neuron,,,,,x,,x,x,,,,
Hippocampus CA1 neurogliaform neuron,,,,,x,,x,x,,,,
Hippocampus CA1 oriens lacunosum moleculare neuron,,,,,x,,x,,,,,
Hippocampus CA1 pyramidal cell,,,,,x,,x,x,,,,
Hippocampus CA1 radiatum giant neuron,,,Modified nomenclature,,x,,,x,,,,
Hippocampus CA2 Basket cell,,,Modified nomenclature,,x,,x,x,,,,
Hippocampus CA2 pyramidal neuron,,,,,x,,x,x,,,,
Hippocampus CA3 basket cell,,,,,x,,x,x,,,,
Hippocampus CA3 lacunosum moleculare neuron,,,,,x,,x,,,,,
Hippocampus CA3 oriens interneuron,,,,,x,,x,,,,,
Hippocampus CA3 pyramidal cell,,,,,x,,x,,,,,
Hippocampus CA3 trilaminar neuron,,,,,x,,,x,,,,
Hypoglossal nucleus motor neuron,,,Modified nomenclature,,x,,x,,,,,
Hypothalamus intrinsic interneuron,,,,,,,,,,,x,
Hypothalamus orexin neuron,,,,,,,,,,,,
Hypothalamus oxytocin magnocellular cell,,,,Hypothalamus oxytocin releasing neuroendocrine magnocellular neuron,x,,x,,,,,
Hypothalamus paraventricular nucleus neuron,,,,,x,,,,,,,
Hypothalamus projection neuron,,,,,,,,,,,x,
Hypothalamus tuberomammillary nucleus histamine neuron,,,Page 1040 Kandell ed5,,,,,,,,,
Hypothalamus vasopressin neuroendocrine magnocellular neuron,,,,,,,x,,,,,
Incertus nucleus projection neuron,,,,,,,,,,,,
Incertus nucleus intrinsic neuron,,,,,,,,,,,,
Indusium griseum intrinsic interneuron,,,,,,,,,,,x,
Indusium griseum projection neuron,,,,,,,,,,,x,
Interpeduncular nucleus intrinsic interneuron,,,,,,,,,,,x,
Interpeduncular nucleus projection neuron,,,,,,,,,,,x,
Interstitial nucleus of Cajal projection neuron,,,,,,,,,,,,
Interstitial nucleus of Cajal intrinsic neuron,,,,,,,,,,,,
Lateral lemniscus nuclear complex projection neuron,,,,,,,,,,,,
Lateral lemniscus nuclear complex interneuron neuron,,,,,,,,,,,,
Laterodorsal tegmental nucleus intrinsic neurons,,,,,,,,,,,,
Laterodorsal tegmental nucleus projection neurons,,,,,,,,,,,,
Locus ceruleus intrinsic interneuron,,,,,,,,,,,x,
Locus ceruleus projection neuron,,,,,,,,,,,x,
Locus coeruleus noradrenergic neuron,,,,Locus coeruleus NA neuron,x,,x,,,,,
Mammillary body intrinsic interneuron,,,,,,,,,,,x,
Mammillary body projection neuron,,,,,,,,,,,x,
Medial amygdalar nucleus intrinsic interneuron,,,,,,,,,,,x,
Medial amygdalar nucleus projection neuron,,,,,,,,,,,x,
Medial entorhinal cortex layer II stellate cell,,,,,x,,,x,,,,
Medial entorhinal cortex layer III pyramidal cell,,,,,x,,,,,,,
Medial hypothalamic zone intrinsic interneuron,,,,,,,,,,,x,
Medial hypothalamic zone projection neuron,,,,,,,,,,,x,
Medial preoptic nucleus intrinsic interneuron,,,,,,,,,,,x,
Medial preoptic nucleus projection neuron,,,,,,,,,,,x,
Median eminence intrinsic interneuron,,,,,,,,,,,x,
Median eminence projection neuron,,,,,,,,,,,x,
Midbrain reticular nucleus intrinsic interneuron,,,,,,,,,,,x,
Midbrain reticular nucleus projection neuron,,,,,,,,,,,x,
Neocortex basket cell,,,,,,,x,,,,,
Neocortex bipolar cell,,,,,x,,x,,,,,
Neocortex bitufted Cell,,,,,,,,,x,,,
Neocortex Cajal-Retzius cell,,,,,,,x,,,,,
Neocortex calbindin positive cell,,,,,,,,,,,,
Neocortex calretinin positive cell,,,,,,,,,,,,
Neocortex chandelier cell,,,,,x,,x,,x,,,
Neocortex cholecystokinin positive cell,,,,,,,,,,,,
Neocortex double bouquet cell,,,,Neocortex Double Bouquet Cell,x,,x,,x,,,
Neocortex layer 2 pyramidal cell,,,,,,,,,,,,
Neocortex layer 2-3 pyramidal cell,,,,Neocortex pyramidal layer 2-3 cell,x,,x,,,,,
Neocortex layer 3 pyramidal cell,,,,,,,,,,,,
Neocortex layer 4 pyramidal cell,,,,,,,,,,,,
Neocortex layer 4 spiny stellate cell,,,,,x,,x,,,,,
Neocortex layer 4 star pyramid cell,,,,,,,,,,,,
Neocortex layer 5 pyramidal cell,,,,,x,,x,,,,,
Neocortex layer 6 pyramidal cell,,,,,,,,,,,,
Neocortex layer I interneuron,,,,,,,,,,,,
Neocortex Martinotti cell,,,,,x,,x,,x,,,
Neocortex neurogliaform cell,,,,,,,,,,,,
Neocortex neuropeptide Y positive cell,,,,,,,,,,,,
Neocortex nitric oxide synthase positive cell,,,,,,,,,,,,
Neocortex parvalbumin positive cell,,,,,,,,,,,,
Neocortex pyramidal cell,,,,,,,,,,,,
Neocortex somatostatin positive cell,,,,,,,,,,,,
Neocortex stellate cell,,,,,x,,x,,,,,
Neocortex vasoactive intestinal peptide positive cell,,,,,,,,,,,,
Oculomotor nucleus intrinsic interneuron,,,,,,,,,,,x,
Oculomotor nucleus internuclear neuron,,,,,,,,,,,,x
Oculomotor nucleus projection neuron,,,,,,,,,,,x,
Olfactory bulb (accessory) glomerular layer cell,,,,,,,x,,,,,
Olfactory bulb (accessory) granule cell,,,,,,,x,,,,,
Olfactory bulb (accessory) mitral cell,,,,,,,x,,,,,
Olfactory bulb (main) adult-born granule cell,,,,,,,x,,,,,
Olfactory bulb (main) Blanes cell,,,,,x,,x,,,,,
Olfactory bulb (main) external tufted cell,,,,,x,,,,,,,
Olfactory bulb (main) granule cell,,,,,x,,x,,,,,
Olfactory bulb (main) mitral cell,,,,,x,,x,,,,,
Olfactory bulb (main) periglomerular cell,,,,,x,,x,,,,,
Olfactory bulb (main) tufted cell (middle),,,,,x,,x,,,,,
Olfactory bulb main tufted cell external,,,,,,,x,,,,,
Olfactory cortex deep pyramidal cell,,,,,,,x,,,,,
Olfactory cortex horizontal cell,,,,,x,,x,,,,,
Olfactory cortex large multipolar cell,,,,,x,,,,,,,
Olfactory cortex multipolar cell,,,,,,,x,,,,,
Olfactory cortex pyramidal cell,,,,,x,,,,,,,
Olfactory cortex semilunar cell,,,,,x,,x,,,,,
Olfactory cortex small globular cell,,,,,,,x,,,,,
Olfactory cortex superficial pyramidal cell,,,,,,,x,,,,,
Olfactory epithelium main sensory cell,,,,,,,x,,,,,
Olfactory epithelium main supporting cell,,,,,,,x,,,,,
Olfactory tubercle intrinsic interneuron,,,,,,,,,,,x,
Olfactory tubercle projection neuron,,,,,,,,,,,x,
Parabrachial nucleus intrinsic interneuron,,,,,,,,,,,x,
Parabrachial nucleus projection neuron,,,,,,,,,,,x,
Parasympathetic ganglion neuron,,,,,,,,,,,,
Pedunculopontine nucleus cholinergic neuron,,,,,,,,,,,,
Pedunculopontine nucleus GABAergic neuron,,,,,,,,,,,,
Pedunculopontine nucleus glutamatergic neuron,,,,,,,,,,,,
Pedunculopontine nucleus projection neuron,,,,,,,,,,,,
Periaqueductal gray intrinsic interneuron,,,,,,,,,,,x,
Periaqueductal gray projection neuron,,,,,,,,,,,x,
Periventricular hypothalamic zone intrinsic interneuron,,,,,,,,,,,x,
Periventricular hypothalamic zone projection neuron,,,,,,,,,,,x,
Pontine central gray intrinsic interneuron,,,,,,,,,,,x,
Pontine central gray projection neuron,,,,,,,,,,,x,
Pontine nuclei intrinsic interneuron,,,,,,,,,,,x,
Pontine nuclei projection neuron,,,,,,,,,,,x,
Pontine raphe nucleus intrinsic interneuron,,,,,,,,,,,x,
Pontine raphe nucleus projection neuron,,,,,,,,,,,x,
Pontine reticular nucleus intrinsic interneuron,,,,,,,,,,,x,
Pontine reticular nucleus projection neuron,,,,,,,,,,,x,
Posterior lobe of pituitary gland intrinsic interneuron,,,,,,,,,,,x,
Posterior lobe of pituitary gland projection neuron,,,,,,,,,,,x,
Premammillary nucleus ventral intrinsic interneuron,,,,,,,,,,,x,
Premammillary nucleus ventral projection neuron,,,,,,,,,,,x,
Prepositus nucleus projection neuron,,,,,,,,,,,,x
Prepositus nucleus intrinsic neuron,,,,,,,,,,,,x
Pretectal region intrinsic interneuron,,,,,,,,,,,x,
Pretectal region projection neuron,,,,,,,,,,,x,
Raphe nucleus dorsal serotonergic neuron,,,Added by MM,,,,,,,,,
Raphe nucleus medial serotonergic neuron,,,Added by MM,,,,,,,,,
Red nucleus intrinsic interneuron,,,,,,,,,,,x,
Red nucleus projection neuron,,,,,,,,,,,x,
Retina amacrine cell,,,,Amacrine cell,x,,x,,,,,
Retina bipolar cell,,,,,x,,x,,,,,
Retina ganglion cell,,,,,,,x,,,,,
Retina horizontal cell,,,,,,,x,,,,,
Retina photoreceptor cone cell,,,,,x,,x,,,,,
Retina photoreceptor rod cell,,,,,,,x,,,,,
Retroambiguous nucleus projection neuron,,,,,,,,,,,,
Retroambiguous nucleus intrinsic neuron,,,,,,,,,,,,
Retrotrapezoid nucleus projection neuron,,,,,,,,,,,,
Retrotrapezoid nucleus intrinsic neuron,,,,,,,,,,,,
Salivatory nucleus projection neuron,,,,,,,,,,,,
Salivatory nucleus intrinsic neuron,,,,,,,,,,,,
Septal complex lateral intrinsic interneuron,,,,,,,,,,,x,
Septal complex lateral projection neuron,,,,,,,,,,,x,
Septal complex medial intrinsic interneuron,,,,,,,,,,,x,
Septal complex medial projection neuron,,,,,,,,,,,x,
Solitary tract nucleus intrinsic cell,,,,,x,,x,,,,,
Solitary tract nucleus principal cell,,,,,x,,x,,,,,
