        Accessory Nerve Fiber Bundle    UBERON:0006117
        Anterior Spinocerebellar Tract    UBERON:0002987
        Anteroventral Cochlear Nucleus    UBERON:0002830
        Area Postrema    UBERON:0002162
        Caudal Part Of Spinal Trigeminal Nucleus    UBERON:0002866
        Central Gray Substance Of Medulla    UBERON:0002867
        Central Medullary Reticular Nuclear Complex    UBERON:0035940
        Cochlear Nucleus    UBERON:0001720
        Commissural Nucleus Of Vagus Nerve    UBERON:0002868
        Cuneate Fasciculus Of Medulla    UBERON:0002642
        Cuneate Nucleus    UBERON:0002045
        Cuneocerebellar Tract    UBERON:0002640
        Decussation Of Medial Lemniscus    UBERON:0002643
        Dorsal Cap Of Kooy    UBERON:0014286
        Dorsal Cochlear Nucleus Pyramidal Cell Layer    UBERON:0022320
        Dorsal Cochlear Nucleus    UBERON:0002829
        Dorsal External Arcuate Fiber Bundle    UBERON:0006089
        Dorsal Longitudinal Fasciculus Of Medulla    UBERON:0002646
        Dorsal Motor Nucleus Of Vagus Nerve    UBERON:0002870
        Dorsal Paramedian Reticular Nucleus    UBERON:0016827
        Dorsolateral Fasciculus Of Medulla    UBERON:0002649
        Dorsolateral Subnucleus Of Solitary Tract    UBERON:0026663
        Dorsomedial Subnucleus Of Solitary Tract    UBERON:0026541
        Floor Plate Of Medulla Oblongata    UBERON:0003311
        Glossopharyngeal Lobe    UBERON:2000517
        Glossopharyngeal Nerve Fiber Bundle    UBERON:0006090
        Gracile Fasciculus Of Medulla    UBERON:0002653
        Granular Cell Layer Of Dorsal Cochlear Nucleus    UBERON:0029009
        Hilum Of Inferior Olivary Complex    UBERON:0008333
        Inferior Cerebellar Peduncle    UBERON:0002163
        Inferior Olivary Commissure    UBERON:0015250
        Inferior Olivary Nucleus    UBERON:0007244
        Inferior Olive Beta Nucleus    UBERON:0035019
        Inferior Reticular Formation    UBERON:2000523
        Inferior Salivatory Nucleus    UBERON:0002872
        Intermediate Reticular Formation    UBERON:0009776
        Intermediate Reticular Nucleus    UBERON:0009777
        Internal Arcuate Fiber Bundle    UBERON:0006087
        Interpolar Part Of Spinal Trigeminal Nucleus    UBERON:0002873
        Juxtarestiform Body    UBERON:0002592
        Lateral Corticospinal Tract    UBERON:0002589
        Lateral Medullary Reticular Complex    UBERON:0009775
        Lateral Pericuneate Nucleus    UBERON:0002874
        Lateral Reticular Nucleus    UBERON:0002154
        Medial Accessory Olive    UBERON:0014287
        Medial Column    UBERON:2000542
        Medial Lemniscus Of Medulla    UBERON:0002748
        Medial Longitudinal Fasciculus Of Medulla    UBERON:0002750
        Medial Pericuneate Nucleus    UBERON:0002875
        Medial Subnucleus Of Solitary Tract    UBERON:0023390
        Medulla Oblongata Anterior Median Fissure    UBERON:0003989
        Medulla Oblongata Sulcus Limitans    UBERON:0009576
        Medulla Oblongata    UBERON:0001896
        Medullary Anterior Horn    UBERON:0023378
        Midline Column    UBERON:2000241
        Molecular Layer Of Dorsal Cochlear Nucleus    UBERON:0022326
        Nucleus Ambiguus    UBERON:0001719
        Nucleus Intercalatus    UBERON:0002876
        Nucleus Lateralis Valvulae    UBERON:2000551
        Nucleus Of Medial Longitudinal Fasciculus Of Medulla    UBERON:2000815
        Nucleus Of Medulla Oblongata    UBERON:0007635
        Nucleus Prepositus    UBERON:0002160
        Nucleus Raphe Magnus    UBERON:0002156
        Nucleus Raphe Obscurus    UBERON:0002684
        Nucleus Raphe Pallidus    UBERON:0002157
        Olivary Body    UBERON:0000128
        Olivocerebellar Tract    UBERON:0002752
        Oral Part Of Spinal Trigeminal Nucleus    UBERON:0002591
        Paramedian Medullary Reticular Complex    UBERON:0016826
        Parasolitary Nucleus    UBERON:0002877
        Paratrigeminal Nucleus    UBERON:0016832
        Parvicellular Subnucleus Of Solitary Tract    UBERON:0026666
        Parvocellular Reticular Nucleus    UBERON:0016633
        Peritrigeminal Nucleus    UBERON:0002879
        Pontobulbar Nucleus    UBERON:0002880
        Posteroventral Cochlear Nucleus    UBERON:0002831
        Pre-Botzinger Complex    UBERON:0006007
        Predorsal Bundle    UBERON:0002754
        Pyramid Of Medulla Oblongata    UBERON:0005159
        Pyramidal Decussation    UBERON:0002755
        Retrotrapezoid Nucleus    UBERON:0009918
        Roof Plate Of Medulla Oblongata    UBERON:0003303
        Root Of Abducens Nerve    UBERON:0002786
        Rostral Portion Of The Medial Accessory Olive    UBERON:0024043
        Rostral Ventrolateral Medulla    UBERON:0005807
        Rubrospinal Tract    UBERON:0002714
        Sensory Root Of Facial Nerve    UBERON:0001699
        Solitary Tract Nuclear Complex    UBERON:0002126
        Solitary Tract    UBERON:0002718
        Spinal Nucleus Of Trigeminal Nerve    UBERON:0001717
        Spinal Trigeminal Tract Of Medulla    UBERON:0002715
        Spino-Olivary Tract    UBERON:0002719
        Spinothalamic Tract Of Medulla    UBERON:0002944
        Sublingual Nucleus    UBERON:0002881
        Superior Reticular Formation Medial Column    UBERON:2000593
        Superior Reticular Formation    UBERON:0004166
        Superior Salivatory Nucleus    UBERON:0002149
        Supraspinal Nucleus    UBERON:0002882
        Tectobulbar Tract    UBERON:0002164
        Vagal Nerve Fiber Bundle    UBERON:0006116
        Vallecula Of Cerebellum    UBERON:0013166
